timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1559681925403,888,Big-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639327,4272,1,1,null,0,1529,0
1559681927822,428,Big-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41061,445,1,1,null,0,1653,0
1559681929903,500,Big-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41459,463,1,1,null,0,1573,0
1559681931976,473,Big-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38660,463,1,1,null,0,1273,0
1559681933722,269,Big-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31828,482,1,1,null,0,1818,0
1559681935809,354,Big-F-Item,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24737,920,1,1,null,0,1729,0
1559681937892,256,Big-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,16558,477,1,1,null,0,1744,0
1559681939893,227,Browse-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1094,0
1559681941215,285,Browse-B-ByTitleBig20,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,42908,444,1,1,null,0,1519,0
1559681943020,1003,Browse-C-ByTitleBig100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126554,566,1,1,null,0,1591,0
1559681945614,913,Browse-D-ByTitleSmall100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126564,500,1,1,null,0,1665,0
1559681948192,159,Browse-E-SmallItem,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24795,954,1,1,null,0,1420,0
1559681949772,101,Browse-F-SmallDownload,404,"Number of samples in transaction : 2, number of failing samples : 1",Full Thread Group 1-1,,false,,11632,834,1,1,null,0,1995,0
1559681951868,220,Search-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639242,4325,1,1,null,0,1054,0
1559681953143,313,Search-B-GlobalSearch,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,36800,907,1,1,null,0,1839,0
1559681955295,696,Search-C-FilterAuthor,200,"Number of samples in transaction : 10, number of failing samples : 0",Full Thread Group 1-1,,true,,125064,5230,1,1,null,0,1724,0
1559681957717,174,Search-D-MediumItem,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15014,792,1,1,null,0,1753,0
1559681959644,40,Search-E-MediumDownload,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,22930,511,1,1,null,0,1666,0
1559681961350,331,Tiny-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1865,0
1559681963547,419,Tiny-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41523,447,1,1,null,0,1264,0
1559681965230,249,Tiny-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41946,467,1,1,null,0,1649,0
1559681967127,278,Tiny-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38903,467,1,1,null,0,1225,0
1559681968630,157,Tiny-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31975,486,1,1,null,0,1039,0
1559681969826,138,Tiny-F-Item,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,14601,488,1,1,null,0,1863,0
1559681971827,87,Tiny-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15863,481,1,1,null,0,1048,0
1559681972962,247,Big-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1744,0
1559681974953,366,Big-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41062,445,1,1,null,0,1526,0
1559681976845,476,Big-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41458,463,1,1,null,0,1336,0
1559681978657,473,Big-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38661,463,1,1,null,0,1680,0
1559681980810,224,Big-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31827,482,1,1,null,0,1099,0
1559681982133,401,Big-F-Item,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24737,920,1,1,null,0,1338,0
1559681983872,442,Big-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,16558,477,1,1,null,0,1443,0
1559681985758,191,Browse-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1835,0
1559681987785,401,Browse-B-ByTitleBig20,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,42908,444,1,1,null,0,1486,0
1559681989672,774,Browse-C-ByTitleBig100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126554,566,1,1,null,0,1140,0
1559681991586,740,Browse-D-ByTitleSmall100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126564,500,1,1,null,0,1045,0
1559681993371,275,Browse-E-SmallItem,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24795,954,1,1,null,0,1754,0
1559681995400,110,Browse-F-SmallDownload,404,"Number of samples in transaction : 2, number of failing samples : 1",Full Thread Group 1-1,,false,,11631,834,1,1,null,0,1480,0
1559681996989,243,Search-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1957,0
1559681999189,204,Search-B-GlobalSearch,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,36799,907,1,1,null,0,1632,0
1559682001026,551,Search-C-FilterAuthor,200,"Number of samples in transaction : 10, number of failing samples : 0",Full Thread Group 1-1,,true,,125064,5230,1,1,null,0,1141,0
1559682002718,269,Search-D-MediumItem,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15015,792,1,1,null,0,1034,0
1559682004021,24,Search-E-MediumDownload,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,22929,511,1,1,null,0,1023,0
1559682005069,183,Tiny-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1419,0
1559682006671,366,Tiny-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41523,447,1,1,null,0,1926,0
1559682008963,312,Tiny-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41946,467,1,1,null,0,1784,0
1559682011059,187,Tiny-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38903,467,1,1,null,0,1601,0
1559682012847,205,Tiny-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31975,486,1,1,null,0,1997,0
1559682015049,99,Tiny-F-Item,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,14601,488,1,1,null,0,1895,0
1559682017043,77,Tiny-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15863,481,1,1,null,0,1073,0
1559682018193,222,Big-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1402,0
1559682019818,411,Big-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41062,445,1,1,null,0,1968,0
1559682022197,315,Big-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41459,463,1,1,null,0,1777,0
1559682024289,264,Big-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38660,463,1,1,null,0,1250,0
1559682025804,322,Big-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31828,482,1,1,null,0,1019,0
1559682027145,327,Big-F-Item,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24737,920,1,1,null,0,1422,0
1559682028894,271,Big-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,16558,477,1,1,null,0,1570,0
1559682030735,220,Browse-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639244,4325,1,1,null,0,1974,0
1559682032929,415,Browse-B-ByTitleBig20,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,42907,444,1,1,null,0,1471,0
1559682034815,1003,Browse-C-ByTitleBig100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126555,566,1,1,null,0,1336,0
1559682037153,850,Browse-D-ByTitleSmall100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126564,500,1,1,null,0,1932,0
1559682039935,157,Browse-E-SmallItem,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24795,954,1,1,null,0,1873,0
1559682041965,71,Browse-F-SmallDownload,404,"Number of samples in transaction : 2, number of failing samples : 1",Full Thread Group 1-1,,false,,11631,834,1,1,null,0,1882,0
1559682043918,186,Search-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1420,0
1559682045524,251,Search-B-GlobalSearch,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,36800,907,1,1,null,0,1577,0
1559682047352,610,Search-C-FilterAuthor,200,"Number of samples in transaction : 10, number of failing samples : 0",Full Thread Group 1-1,,true,,125063,5230,1,1,null,0,1361,0
1559682049323,297,Search-D-MediumItem,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15015,792,1,1,null,0,1831,0
1559682051451,31,Search-E-MediumDownload,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,22929,511,1,1,null,0,1032,0
1559682052514,204,Tiny-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1432,0
1559682054161,372,Tiny-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41523,447,1,1,null,0,1259,0
1559682055792,341,Tiny-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41946,467,1,1,null,0,1535,0
1559682057668,169,Tiny-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38903,467,1,1,null,0,1129,0
1559682058966,197,Tiny-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31975,486,1,1,null,0,1323,0
1559682060487,102,Tiny-F-Item,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,14600,488,1,1,null,0,1344,0
1559682061933,220,Tiny-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15864,481,1,1,null,0,1456,0
1559682063610,166,Big-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1573,0
1559682065349,292,Big-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41062,445,1,1,null,0,1206,0
1559682066848,392,Big-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41458,463,1,1,null,0,1670,0
1559682068910,250,Big-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38661,463,1,1,null,0,1885,0
1559682071044,259,Big-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31827,482,1,1,null,0,1410,0
1559682072713,274,Big-F-Item,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24737,920,1,1,null,0,1073,0
1559682074060,212,Big-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,16558,477,1,1,null,0,1578,0
1559682075850,192,Browse-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1930,0
1559682077973,260,Browse-B-ByTitleBig20,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,42908,444,1,1,null,0,1493,0
1559682079726,830,Browse-C-ByTitleBig100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126554,566,1,1,null,0,1704,0
1559682082260,828,Browse-D-ByTitleSmall100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126564,500,1,1,null,0,1796,0
1559682084885,124,Browse-E-SmallItem,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24795,954,1,1,null,0,1834,0
1559682086843,98,Browse-F-SmallDownload,404,"Number of samples in transaction : 2, number of failing samples : 1",Full Thread Group 1-1,,false,,11631,834,1,1,null,0,1504,0
1559682088445,274,Search-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1365,0
1559682090084,180,Search-B-GlobalSearch,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,36799,907,1,1,null,0,1479,0
1559682091744,464,Search-C-FilterAuthor,200,"Number of samples in transaction : 10, number of failing samples : 0",Full Thread Group 1-1,,true,,125064,5230,1,1,null,0,1367,0
1559682093575,184,Search-D-MediumItem,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15015,792,1,1,null,0,1399,0
1559682095158,25,Search-E-MediumDownload,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,22929,511,1,1,null,0,1268,0
1559682096451,298,Tiny-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1138,0
1559682097887,276,Tiny-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41523,447,1,1,null,0,1913,0
1559682100076,270,Tiny-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41946,467,1,1,null,0,1863,0
1559682102208,241,Tiny-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38904,467,1,1,null,0,1956,0
1559682104405,191,Tiny-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31975,486,1,1,null,0,1836,0
1559682106432,125,Tiny-F-Item,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,14600,488,1,1,null,0,1082,0
1559682107639,108,Tiny-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15864,481,1,1,null,0,1688,0
1559682109436,278,Big-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1034,0
1559682110749,327,Big-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41062,445,1,1,null,0,1183,0
1559682112259,363,Big-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41458,463,1,1,null,0,1505,0
1559682114127,282,Big-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38661,463,1,1,null,0,1943,0
1559682116352,229,Big-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31828,482,1,1,null,0,1787,0
1559682118368,300,Big-F-Item,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24737,920,1,1,null,0,1586,0
1559682120254,251,Big-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,16558,477,1,1,null,0,1213,0
1559682121718,177,Browse-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1398,0
1559682123293,210,Browse-B-ByTitleBig20,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,42907,444,1,1,null,0,1735,0
1559682125238,908,Browse-C-ByTitleBig100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126555,566,1,1,null,0,1846,0
1559682127993,816,Browse-D-ByTitleSmall100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126564,500,1,1,null,0,1447,0
1559682130256,182,Browse-E-SmallItem,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24795,954,1,1,null,0,1100,0
1559682131538,87,Browse-F-SmallDownload,404,"Number of samples in transaction : 2, number of failing samples : 1",Full Thread Group 1-1,,false,,11631,834,1,1,null,0,1561,0
1559682133186,234,Search-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1140,0
1559682134560,127,Search-B-GlobalSearch,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,36799,907,1,1,null,0,1387,0
1559682136074,492,Search-C-FilterAuthor,200,"Number of samples in transaction : 10, number of failing samples : 0",Full Thread Group 1-1,,true,,125064,5230,1,1,null,0,1004,0
1559682137570,133,Search-D-MediumItem,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15014,792,1,1,null,0,1358,0
1559682139061,34,Search-E-MediumDownload,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,22930,511,1,1,null,0,1170,0
1559682140265,201,Tiny-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639242,4325,1,1,null,0,1066,0
1559682141531,311,Tiny-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41524,447,1,1,null,0,1045,0
1559682142887,278,Tiny-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41946,467,1,1,null,0,1693,0
1559682144858,163,Tiny-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38903,467,1,1,null,0,1193,0
1559682146214,341,Tiny-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31975,486,1,1,null,0,1167,0
1559682147722,76,Tiny-F-Item,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,14600,488,1,1,null,0,1029,0
1559682148827,164,Tiny-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15864,481,1,1,null,0,1143,0
1559682150134,176,Big-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639244,4325,1,1,null,0,1968,0
1559682152278,458,Big-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41061,445,1,1,null,0,1037,0
1559682153773,494,Big-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41459,463,1,1,null,0,1482,0
1559682155749,278,Big-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38660,463,1,1,null,0,1449,0
1559682157476,258,Big-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31828,482,1,1,null,0,1280,0
1559682159014,251,Big-F-Item,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24736,920,1,1,null,0,1200,0
1559682160466,200,Big-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,16559,477,1,1,null,0,1399,0
1559682162065,163,Browse-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1797,0
1559682164025,284,Browse-B-ByTitleBig20,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,42907,444,1,1,null,0,1105,0
1559682165414,707,Browse-C-ByTitleBig100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126555,566,1,1,null,0,1110,0
1559682167231,923,Browse-D-ByTitleSmall100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126563,500,1,1,null,0,1037,0
1559682169191,117,Browse-E-SmallItem,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24795,954,1,1,null,0,1729,0
1559682171037,168,Browse-F-SmallDownload,404,"Number of samples in transaction : 2, number of failing samples : 1",Full Thread Group 1-1,,false,,11632,834,1,1,null,0,1335,0
1559682172540,178,Search-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639242,4325,1,1,null,0,1065,0
1559682173783,194,Search-B-GlobalSearch,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,36800,907,1,1,null,0,1603,0
1559682175581,466,Search-C-FilterAuthor,200,"Number of samples in transaction : 10, number of failing samples : 0",Full Thread Group 1-1,,true,,125063,5230,1,1,null,0,1357,0
1559682177404,230,Search-D-MediumItem,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15015,792,1,1,null,0,1898,0
1559682179532,45,Search-E-MediumDownload,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,22930,511,1,1,null,0,1900,0
1559682181476,221,Tiny-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639242,4325,1,1,null,0,1224,0
1559682182921,314,Tiny-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41524,447,1,1,null,0,1989,0
1559682185224,219,Tiny-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41946,467,1,1,null,0,1709,0
1559682187152,276,Tiny-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38903,467,1,1,null,0,1160,0
1559682188588,160,Tiny-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31975,486,1,1,null,0,1932,0
1559682190680,93,Tiny-F-Item,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,14600,488,1,1,null,0,1601,0
1559682192374,94,Tiny-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15864,481,1,1,null,0,1646,0
1559682194114,192,Big-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1689,0
1559682195995,376,Big-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41062,445,1,1,null,0,1717,0
1559682198088,297,Big-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41459,463,1,1,null,0,1696,0
1559682200081,237,Big-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38661,463,1,1,null,0,1980,0
1559682202298,248,Big-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31828,482,1,1,null,0,1917,0
1559682204463,363,Big-F-Item,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24737,920,1,1,null,0,1724,0
1559682206551,244,Big-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,16558,477,1,1,null,0,1689,0
1559682208484,289,Browse-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1080,0
1559682209854,342,Browse-B-ByTitleBig20,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,42908,444,1,1,null,0,1602,0
1559682211798,710,Browse-C-ByTitleBig100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126555,566,1,1,null,0,1909,0
1559682214417,787,Browse-D-ByTitleSmall100,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,126564,500,1,1,null,0,1858,0
1559682217062,171,Browse-E-SmallItem,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,24795,954,1,1,null,0,1646,0
1559682218879,63,Browse-F-SmallDownload,404,"Number of samples in transaction : 2, number of failing samples : 1",Full Thread Group 1-1,,false,,11631,834,1,1,null,0,1808,0
1559682220750,148,Search-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1468,0
1559682222366,249,Search-B-GlobalSearch,200,"Number of samples in transaction : 2, number of failing samples : 0",Full Thread Group 1-1,,true,,36800,907,1,1,null,0,1214,0
1559682223829,373,Search-C-FilterAuthor,200,"Number of samples in transaction : 10, number of failing samples : 0",Full Thread Group 1-1,,true,,125063,5230,1,1,null,0,1585,0
1559682225787,115,Search-D-MediumItem,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15015,792,1,1,null,0,1334,0
1559682227236,32,Search-E-MediumDownload,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,22929,511,1,1,null,0,1658,0
1559682228926,208,Tiny-A-Home,200,"Number of samples in transaction : 11, number of failing samples : 0",Full Thread Group 1-1,,true,,639243,4325,1,1,null,0,1369,0
1559682230504,286,Tiny-B-Community,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41523,447,1,1,null,0,1204,0
1559682231995,311,Tiny-C-Subcommunity,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,41946,467,1,1,null,0,1500,0
1559682233807,277,Tiny-D-Collection,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,38904,467,1,1,null,0,1718,0
1559682235802,133,Tiny-E-Recent,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,31974,486,1,1,null,0,1098,0
1559682237033,144,Tiny-F-Item,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,14601,488,1,1,null,0,1677,0
1559682238854,173,Tiny-G-ItemFull,200,"Number of samples in transaction : 1, number of failing samples : 0",Full Thread Group 1-1,,true,,15864,481,1,1,null,0,1987,0
